antecedent,consequent,support,confidence,lift
{6},{1 18 34},0.528,0.295,1.092
{1 18},{34 6},0.387,0.403,1.143
{1 34},{18 6},0.352,0.443,1.16
{1 6},{18 34},0.284,0.548,1.175
{18 34},{1 6},0.466,0.334,1.175
{18 6},{1 34},0.382,0.408,1.16
{34 6},{1 18},0.352,0.442,1.143
{1 18 34},{6},0.271,0.576,1.092
{1 18 6},{34},0.218,0.716,1.118
{1 34 6},{18},0.201,0.774,1.098
{18 34 6},{1},0.262,0.595,1.144
{48},{1 18 6},0.479,0.228,1.047
{1},{48 18 6},0.52,0.21,1.102
{18},{48 1 6},0.705,0.155,1.096
{6},{48 1 18},0.528,0.207,1.067
{48 1},{18 6},0.255,0.429,1.123
{48 18},{1 6},0.348,0.314,1.104
{48 6},{1 18},0.256,0.426,1.101
{1 18},{48 6},0.387,0.282,1.101
{1 6},{48 18},0.284,0.384,1.104
{18 6},{48 1},0.382,0.286,1.123
{48 1 18},{6},0.194,0.563,1.067
{48 1 6},{18},0.141,0.773,1.096
{48 18 6},{1},0.191,0.573,1.102
{1 18 6},{48},0.218,0.502,1.047
{16},{1 18 6},0.513,0.237,1.091
{1},{16 18 6},0.52,0.234,1.147
{18},{16 1 6},0.705,0.173,1.092
{6},{16 1 18},0.528,0.231,1.104
{16 1},{18 6},0.278,0.439,1.149
{16 18},{1 6},0.369,0.33,1.162
{16 6},{1 18},0.278,0.438,1.131
{1 18},{16 6},0.387,0.315,1.131
{1 6},{16 18},0.284,0.428,1.162
{18 6},{16 1},0.382,0.319,1.149
{16 1 18},{6},0.209,0.582,1.104
{16 1 6},{18},0.158,0.77,1.092
{16 18 6},{1},0.204,0.596,1.147
{1 18 6},{16},0.218,0.56,1.091
{32},{1 18 6},0.413,0.255,1.171
{1},{32 18 6},0.52,0.202,1.148
{18},{32 1 6},0.705,0.149,1.131
{6},{32 1 18},0.528,0.199,1.133
{32 1},{18 6},0.226,0.466,1.221
{32 18},{1 6},0.304,0.346,1.218
{32 6},{1 18},0.234,0.449,1.159
{1 18},{32 6},0.387,0.272,1.159
{1 6},{32 18},0.284,0.37,1.218
{18 6},{32 1},0.382,0.275,1.221
{32 1 18},{6},0.176,0.598,1.133
{32 1 6},{18},0.132,0.797,1.131
{32 18 6},{1},0.176,0.597,1.148
{1 18 6},{32},0.218,0.483,1.171
{1},{19 6 30},0.52,0.199,1.113
{19},{1 6 30},0.54,0.192,1.099
{6},{1 19 30},0.528,0.196,1.109
{30},{1 19 6},0.563,0.184,1.101
{1 19},{6 30},0.288,0.359,1.17
{1 6},{19 30},0.284,0.364,1.15
{1 30},{19 6},0.31,0.334,1.119
{19 6},{1 30},0.298,0.347,1.119
{19 30},{1 6},0.316,0.327,1.15
{6 30},{1 19},0.307,0.337,1.17
{1 19 6},{30},0.167,0.62,1.101
{1 19 30},{6},0.177,0.585,1.109
{1 6 30},{19},0.175,0.593,1.099
{19 6 30},{1},0.179,0.578,1.113
{1},{34 19 6},0.52,0.232,1.138
{34},{1 19 6},0.641,0.189,1.13
{19},{1 34 6},0.54,0.224,1.113
{6},{1 34 19},0.528,0.229,1.127
{1 34},{19 6},0.352,0.343,1.15
{1 19},{34 6},0.288,0.419,1.189
{1 6},{34 19},0.284,0.425,1.181
{34 19},{1 6},0.36,0.336,1.181
{34 6},{1 19},0.352,0.343,1.189
{19 6},{1 34},0.298,0.405,1.15
{1 34 19},{6},0.203,0.594,1.127
{1 34 6},{19},0.201,0.6,1.113
{1 19 6},{34},0.167,0.724,1.13
{34 19 6},{1},0.204,0.592,1.138
{1},{34 6 30},0.52,0.239,1.152
{34},{1 6 30},0.641,0.194,1.113
{6},{1 34 30},0.528,0.236,1.105
{30},{1 34 6},0.563,0.221,1.098
{1 34},{6 30},0.352,0.354,1.153
{1 6},{34 30},0.284,0.438,1.19
{1 30},{34 6},0.31,0.402,1.14
{34 6},{1 30},0.352,0.353,1.14
{34 30},{1 6},0.368,0.338,1.19
{6 30},{1 34},0.307,0.406,1.153
{1 34 6},{30},0.201,0.619,1.098
{1 34 30},{6},0.214,0.583,1.105
{1 6 30},{34},0.175,0.713,1.113
{34 6 30},{1},0.208,0.599,1.152
{48},{1 34 6},0.479,0.218,1.084
{1},{48 34 6},0.52,0.201,1.138
{34},{48 1 6},0.641,0.163,1.155
{6},{48 1 34},0.528,0.198,1.109
{48 1},{34 6},0.255,0.41,1.164
{48 34},{1 6},0.316,0.33,1.161
{48 6},{1 34},0.256,0.408,1.159
{1 34},{48 6},0.352,0.297,1.159
{1 6},{48 34},0.284,0.367,1.161
{34 6},{48 1},0.352,0.296,1.164
{48 1 34},{6},0.179,0.585,1.109
{48 1 6},{34},0.141,0.74,1.155
{48 34 6},{1},0.177,0.592,1.138
{1 34 6},{48},0.201,0.519,1.084
{16},{1 34 6},0.513,0.211,1.047
{1},{16 34 6},0.52,0.208,1.133
{34},{16 1 6},0.641,0.169,1.067
{6},{16 1 34},0.528,0.205,1.091
{16 1},{34 6},0.278,0.389,1.105
{16 34},{1 6},0.332,0.325,1.144
{16 6},{1 34},0.278,0.388,1.104
{1 34},{16 6},0.352,0.307,1.104
{1 6},{16 34},0.284,0.38,1.144
{34 6},{16 1},0.352,0.307,1.105
{16 1 34},{6},0.188,0.575,1.091
{16 1 6},{34},0.158,0.684,1.067
{16 34 6},{1},0.184,0.589,1.133
{1 34 6},{16},0.201,0.537,1.047
{1},{18 19 14},0.52,0.332,1.088
{18},{1 19 14},0.705,0.245,1.115
{19},{1 18 14},0.54,0.32,1.095
{14},{1 18 19},0.717,0.241,1.082
{1 18},{19 14},0.387,0.447,1.118
{1 19},{18 14},0.288,0.6,1.137
{1 14},{18 19},0.382,0.452,1.132
{18 19},{1 14},0.4,0.432,1.132
{18 14},{1 19},0.527,0.328,1.137
{19 14},{1 18},0.399,0.433,1.118
{1 18 19},{14},0.223,0.775,1.082
{1 18 14},{19},0.293,0.591,1.095
{1 19 14},{18},0.22,0.786,1.115
{18 19 14},{1},0.306,0.566,1.088
{1},{18 21 14},0.52,0.198,1.131
{18},{1 21 14},0.705,0.146,1.112
{21},{1 18 14},0.307,0.335,1.145
{14},{1 18 21},0.717,0.143,1.088
{1 18},{21 14},0.387,0.266,1.142
{1 21},{18 14},0.174,0.591,1.121
{1 14},{18 21},0.382,0.269,1.209
{18 21},{1 14},0.223,0.462,1.209
{18 14},{1 21},0.527,0.195,1.121
{21 14},{1 18},0.233,0.442,1.142
{1 18 21},{14},0.132,0.78,1.088
{1 18 14},{21},0.293,0.351,1.145
{1 21 14},{18},0.131,0.784,1.112
{18 21 14},{1},0.175,0.588,1.131
{1},{18 28 14},0.52,0.22,1.142
{18},{1 28 14},0.705,0.162,1.11
{28},{1 18 14},0.342,0.333,1.139
{14},{1 18 28},0.717,0.159,1.12
{1 18},{28 14},0.387,0.295,1.149
{1 28},{18 14},0.189,0.605,1.148
{1 14},{18 28},0.382,0.299,1.223
{18 28},{1 14},0.244,0.467,1.223
{18 14},{1 28},0.527,0.216,1.148
{28 14},{1 18},0.257,0.445,1.149
{1 18 28},{14},0.142,0.803,1.12
{1 18 14},{28},0.293,0.39,1.139
{1 28 14},{18},0.146,0.783,1.11
{18 28 14},{1},0.192,0.594,1.142
{1},{18 30 14},0.52,0.348,1.123
{18},{1 30 14},0.705,0.257,1.074
{30},{1 18 14},0.563,0.321,1.097
{14},{1 18 30},0.717,0.252,1.122
{1 18},{14 30},0.387,0.467,1.11
{1 30},{18 14},0.31,0.583,1.107
{1 14},{18 30},0.382,0.473,1.193
{18 30},{1 14},0.397,0.456,1.193
{18 14},{1 30},0.527,0.343,1.107
{30 14},{1 18},0.421,0.429,1.11
{1 18 30},{14},0.225,0.804,1.122
{1 18 14},{30},0.293,0.618,1.097
{1 30 14},{18},0.239,0.757,1.074
{18 30 14},{1},0.31,0.584,1.123
{1},{18 34 14},0.52,0.405,1.124
{18},{1 34 14},0.705,0.299,1.124
{34},{1 18 14},0.641,0.329,1.123
{14},{1 18 34},0.717,0.294,1.086
{1 18},{34 14},0.387,0.544,1.146
{1 34},{18 14},0.352,0.598,1.135
{1 14},{18 34},0.382,0.551,1.181
{18 34},{1 14},0.466,0.451,1.181
{18 14},{1 34},0.527,0.399,1.135
{34 14},{1 18},0.475,0.443,1.146
{1 18 34},{14},0.271,0.778,1.086
{1 18 14},{34},0.293,0.719,1.123
{1 34 14},{18},0.266,0.793,1.124
{18 34 14},{1},0.36,0.584,1.124
{1},{18 44 14},0.52,0.237,1.119
{18},{1 44 14},0.705,0.175,1.117
{44},{1 18 14},0.373,0.331,1.131
{14},{1 18 44},0.717,0.172,1.113
{1 18},{44 14},0.387,0.319,1.127
{1 44},{18 14},0.2,0.619,1.174
{1 14},{18 44},0.382,0.323,1.193
{18 44},{1 14},0.271,0.456,1.193
{18 14},{1 44},0.527,0.234,1.174
{44 14},{1 18},0.283,0.436,1.127
{1 18 44},{14},0.155,0.797,1.113
{1 18 14},{44},0.293,0.422,1.131
{1 44 14},{18},0.157,0.787,1.117
{18 44 14},{1},0.212,0.582,1.119
{48},{1 18 14},0.479,0.321,1.095
{1},{48 18 14},0.52,0.295,1.092
{18},{48 1 14},0.705,0.218,1.115
{14},{48 1 18},0.717,0.214,1.105
{48 1},{18 14},0.255,0.603,1.144
{48 18},{1 14},0.348,0.441,1.156
{48 14},{1 18},0.356,0.431,1.114
{1 18},{48 14},0.387,0.397,1.114
{1 14},{48 18},0.382,0.402,1.156
{18 14},{48 1},0.527,0.291,1.144
{48 1 18},{14},0.194,0.792,1.105
{48 1 14},{18},0.195,0.786,1.115
{48 18 14},{1},0.27,0.568,1.092
{1 18 14},{48},0.293,0.525,1.095
{1},{49 18 14},0.52,0.232,1.057
{18},{1 14 49},0.705,0.171,1.104
{49},{1 18 14},0.389,0.31,1.059
{14},{1 18 49},0.717,0.168,1.09
{1 18},{49 14},0.387,0.311,1.077
{1 49},{18 14},0.205,0.588,1.115
{1 14},{49 18},0.382,0.315,1.114
{49 18},{1 14},0.283,0.426,1.114
{18 14},{1 49},0.527,0.228,1.115
{49 14},{1 18},0.289,0.417,1.077
{1 18 49},{14},0.154,0.781,1.09
{1 18 14},{49},0.293,0.412,1.059
{1 14 49},{18},0.155,0.778,1.104
{49 18 14},{1},0.219,0.549,1.057
{16},{1 18 14},0.513,0.31,1.06
{1},{16 18 14},0.52,0.306,1.092
{18},{16 1 14},0.705,0.226,1.084
{14},{16 1 18},0.717,0.222,1.061
{16 1},{18 14},0.278,0.573,1.087
{16 18},{1 14},0.369,0.432,1.13
{16 14},{1 18},0.38,0.419,1.083
{1 18},{16 14},0.387,0.411,1.083
{1 14},{16 18},0.382,0.417,1.13
{18 14},{16 1},0.527,0.302,1.087
{16 1 18},{14},0.209,0.761,1.061
{16 1 14},{18},0.208,0.764,1.084
{16 18 14},{1},0.28,0.568,1.092
{1 18 14},{16},0.293,0.544,1.06
{1},{18 26 14},0.52,0.252,1.086
{18},{1 26 14},0.705,0.186,1.124
{26},{1 18 14},0.412,0.318,1.087
{14},{1 18 26},0.717,0.183,1.11
{1 18},{26 14},0.387,0.339,1.11
{1 26},{18 14},0.218,0.603,1.143
{1 14},{18 26},0.382,0.343,1.147
{18 26},{1 14},0.299,0.438,1.147
{18 14},{1 26},0.527,0.249,1.143
{26 14},{1 18},0.305,0.43,1.11
{1 18 26},{14},0.165,0.796,1.11
{1 18 14},{26},0.293,0.448,1.087
{1 26 14},{18},0.165,0.792,1.124
{18 26 14},{1},0.232,0.565,1.086
{1},{18 12 14},0.52,0.239,1.108
{18},{1 12 14},0.705,0.176,1.132
{12},{1 18 14},0.365,0.34,1.161
{14},{1 18 12},0.717,0.173,1.102
{1 18},{12 14},0.387,0.321,1.15
{1 12},{18 14},0.201,0.617,1.17
{1 14},{18 12},0.382,0.325,1.192
{18 12},{1 14},0.273,0.455,1.192
{18 14},{1 12},0.527,0.235,1.17
{12 14},{1 18},0.279,0.445,1.15
{1 18 12},{14},0.157,0.79,1.102
{1 18 14},{12},0.293,0.424,1.161
{1 12 14},{18},0.155,0.798,1.132
{18 12 14},{1},0.216,0.576,1.108
{1},{18 42 14},0.52,0.193,1.118
{18},{1 42 14},0.705,0.142,1.118
{42},{1 18 14},0.317,0.317,1.082
{14},{1 18 42},0.717,0.14,1.108
{1 18},{42 14},0.387,0.259,1.109
{1 42},{18 14},0.166,0.606,1.149
{1 14},{18 42},0.382,0.263,1.172
{18 42},{1 14},0.224,0.448,1.172
{18 14},{1 42},0.527,0.191,1.149
{42 14},{1 18},0.234,0.429,1.109
{1 18 42},{14},0.126,0.794,1.108
{1 18 14},{42},0.293,0.343,1.082
{1 42 14},{18},0.127,0.788,1.118
{18 42 14},{1},0.173,0.581,1.118
{1},{18 46 14},0.52,0.229,1.065
{18},{1 46 14},0.705,0.169,1.113
{46},{1 18 14},0.372,0.32,1.093
{14},{1 18 46},0.717,0.166,1.076
{1 18},{46 14},0.387,0.308,1.103
{1 46},{18 14},0.202,0.591,1.121
{1 14},{18 46},0.382,0.312,1.112
{18 46},{1 14},0.28,0.425,1.112
{18 14},{1 46},0.527,0.226,1.121
{46 14},{1 18},0.279,0.427,1.103
{1 18 46},{14},0.154,0.771,1.076
{1 18 14},{46},0.293,0.407,1.093
{1 46 14},{18},0.152,0.785,1.113
{18 46 14},{1},0.215,0.553,1.065
{32},{1 18 14},0.413,0.325,1.111
{1},{32 18 14},0.52,0.258,1.119
{18},{32 1 14},0.705,0.19,1.147
{14},{32 1 18},0.717,0.187,1.064
{32 1},{18 14},0.226,0.595,1.128
{32 18},{1 14},0.304,0.442,1.156
{32 14},{1 18},0.299,0.448,1.158
{1 18},{32 14},0.387,0.347,1.158
{1 14},{32 18},0.382,0.351,1.156
{18 14},{32 1},0.527,0.254,1.128
{32 1 18},{14},0.176,0.763,1.064
{32 1 14},{18},0.166,0.809,1.147
{32 18 14},{1},0.231,0.582,1.119
{1 18 14},{32},0.293,0.458,1.111
{1},{19 30 14},0.52,0.267,1.11
{19},{1 30 14},0.54,0.257,1.077
{30},{1 19 14},0.563,0.246,1.121
{14},{1 19 30},0.717,0.194,1.095
{1 19},{14 30},0.288,0.481,1.143
{1 30},{19 14},0.31,0.448,1.121
{1 14},{19 30},0.382,0.363,1.149
{19 30},{1 14},0.316,0.439,1.149
{19 14},{1 30},0.399,0.348,1.121
{30 14},{1 19},0.421,0.33,1.143
{1 19 30},{14},0.177,0.785,1.095
{1 19 14},{30},0.22,0.631,1.121
{1 30 14},{19},0.239,0.581,1.077
{19 30 14},{1},0.241,0.577,1.11
{1},{34 19 14},0.52,0.307,1.116
{34},{1 19 14},0.641,0.249,1.132
{19},{1 34 14},0.54,0.296,1.113
{14},{1 34 19},0.717,0.223,1.095
{1 34},{19 14},0.352,0.453,1.134
{1 19},{34 14},0.288,0.553,1.165
{1 14},{34 19},0.382,0.417,1.161
{34 19},{1 14},0.36,0.443,1.161
{34 14},{1 19},0.475,0.336,1.165
{19 14},{1 34},0.399,0.399,1.134
{1 34 19},{14},0.203,0.785,1.095
{1 34 14},{19},0.266,0.601,1.113
{1 19 14},{34},0.22,0.725,1.132
{34 19 14},{1},0.275,0.58,1.116
{48},{1 19 14},0.479,0.251,1.141
{1},{48 19 14},0.52,0.231,1.103
{19},{48 1 14},0.54,0.223,1.141
{14},{48 1 19},0.717,0.168,1.134
{48 1},{19 14},0.255,0.472,1.181
{48 19},{1 14},0.268,0.449,1.175
{48 14},{1 19},0.356,0.337,1.17
{1 19},{48 14},0.288,0.417,1.17
{1 14},{48 19},0.382,0.314,1.175
{19 14},{48 1},0.399,0.301,1.181
{48 1 19},{14},0.148,0.813,1.134
{48 1 14},{19},0.195,0.615,1.141
{48 19 14},{1},0.21,0.573,1.103
{1 19 14},{48},0.22,0.546,1.141
{16},{1 19 14},0.513,0.234,1.065
{1},{16 19 14},0.52,0.231,1.079
{19},{16 1 14},0.54,0.223,1.069
{14},{16 1 19},0.717,0.168,1.046
{16 1},{19 14},0.278,0.433,1.083
{16 19},{1 14},0.286,0.42,1.098
{16 14},{1 19},0.38,0.316,1.097
{1 19},{16 14},0.288,0.417,1.097
{1 14},{16 19},0.382,0.314,1.098
{19 14},{16 1},0.399,0.301,1.083
{16 1 19},{14},0.16,0.75,1.046
{16 1 14},{19},0.208,0.577,1.069
{16 19 14},{1},0.214,0.561,1.079
{1 19 14},{16},0.22,0.546,1.065
{1},{34 28 14},0.52,0.203,1.136
{34},{1 28 14},0.641,0.165,1.129
{28},{1 34 14},0.342,0.308,1.16
{14},{1 34 28},0.717,0.147,1.113
{1 34},{28 14},0.352,0.3,1.167
{1 28},{34 14},0.189,0.559,1.178
{1 14},{34 28},0.382,0.276,1.2
{34 28},{1 14},0.23,0.459,1.2
{34 14},{1 28},0.475,0.222,1.178
{28 14},{1 34},0.257,0.411,1.167
{1 34 28},{14},0.132,0.798,1.113
{1 34 14},{28},0.266,0.397,1.16
{1 28 14},{34},0.146,0.723,1.129
{34 28 14},{1},0.179,0.591,1.136
{1},{34 30 14},0.52,0.323,1.144
{34},{1 30 14},0.641,0.262,1.097
{30},{1 34 14},0.563,0.298,1.122
{14},{1 34 30},0.717,0.234,1.097
{1 34},{14 30},0.352,0.477,1.132
{1 30},{34 14},0.31,0.541,1.14
{1 14},{34 30},0.382,0.439,1.194
{34 30},{1 14},0.368,0.456,1.194
{34 14},{1 30},0.475,0.353,1.14
{30 14},{1 34},0.421,0.399,1.132
{1 34 30},{14},0.214,0.786,1.097
{1 34 14},{30},0.266,0.632,1.122
{1 30 14},{34},0.239,0.703,1.097
{34 30 14},{1},0.282,0.595,1.144
{48},{1 30 14},0.479,0.263,1.1
{1},{48 30 14},0.52,0.242,1.112
{30},{48 1 14},0.563,0.223,1.144
{14},{48 1 30},0.717,0.176,1.117
{48 1},{14 30},0.255,0.494,1.173
{48 30},{1 14},0.282,0.446,1.166
{48 14},{1 30},0.356,0.353,1.14
{1 30},{48 14},0.31,0.406,1.14
{1 14},{48 30},0.382,0.329,1.166
{30 14},{48 1},0.421,0.299,1.173
{48 1 30},{14},0.157,0.8,1.117
{48 1 14},{30},0.195,0.644,1.144
{48 30 14},{1},0.218,0.578,1.112
{1 30 14},{48},0.239,0.527,1.1
{1},{49 14 30},0.52,0.198,1.117
{49},{1 14 30},0.389,0.265,1.11
{30},{1 14 49},0.563,0.183,1.182
{14},{1 30 49},0.717,0.144,1.132
{1 49},{30 14},0.205,0.503,1.195
{1 30},{49 14},0.31,0.333,1.151
{1 14},{49 30},0.382,0.27,1.177
{49 30},{1 14},0.229,0.45,1.177
{49 14},{1 30},0.289,0.357,1.151
{30 14},{1 49},0.421,0.245,1.195
{1 30 49},{14},0.127,0.811,1.132
{1 14 49},{30},0.155,0.666,1.182
{1 30 14},{49},0.239,0.432,1.11
{49 30 14},{1},0.178,0.581,1.117
{16},{1 30 14},0.513,0.25,1.045
{1},{16 30 14},0.52,0.246,1.119
{30},{16 1 14},0.563,0.227,1.093
{14},{16 1 30},0.717,0.179,1.085
{16 1},{14 30},0.278,0.462,1.096
{16 30},{1 14},0.29,0.442,1.157
{16 14},{1 30},0.38,0.337,1.089
{1 30},{16 14},0.31,0.413,1.089
{1 14},{16 30},0.382,0.335,1.157
{30 14},{16 1},0.421,0.304,1.096
{16 1 30},{14},0.165,0.777,1.085
{16 1 14},{30},0.208,0.615,1.093
{16 30 14},{1},0.22,0.582,1.119
{1 30 14},{16},0.239,0.536,1.045
{1},{26 30 14},0.52,0.207,1.102
{30},{1 26 14},0.563,0.191,1.153
{26},{1 30 14},0.412,0.261,1.09
{14},{1 26 30},0.717,0.15,1.101
{1 30},{26 14},0.31,0.347,1.135
{1 26},{14 30},0.218,0.494,1.173
{1 14},{26 30},0.382,0.281,1.15
{26 30},{1 14},0.245,0.439,1.15
{30 14},{1 26},0.421,0.255,1.173
{26 14},{1 30},0.305,0.352,1.135
{1 26 30},{14},0.136,0.789,1.101
{1 30 14},{26},0.239,0.45,1.09
{1 26 14},{30},0.165,0.649,1.153
{26 30 14},{1},0.188,0.573,1.102
{1},{14 46 30},0.52,0.194,1.109
{30},{1 46 14},0.563,0.179,1.178
{46},{1 30 14},0.372,0.271,1.133
{14},{1 46 30},0.717,0.141,1.097
{1 30},{46 14},0.31,0.325,1.165
{1 46},{14 30},0.202,0.5,1.187
{1 14},{46 30},0.382,0.264,1.168
{46 30},{1 14},0.226,0.446,1.168
{30 14},{1 46},0.421,0.239,1.187
{46 14},{1 30},0.279,0.361,1.165
{46 1 30},{14},0.128,0.786,1.097
{1 30 14},{46},0.239,0.422,1.133
{1 46 14},{30},0.152,0.664,1.178
{46 30 14},{1},0.175,0.576,1.109
{32},{1 30 14},0.413,0.265,1.11
{1},{32 30 14},0.52,0.211,1.125
{30},{32 1 14},0.563,0.194,1.172
{14},{32 1 30},0.717,0.153,1.079
{32 1},{14 30},0.226,0.485,1.152
{32 30},{1 14},0.245,0.447,1.171
{32 14},{1 30},0.299,0.366,1.18
{1 30},{32 14},0.31,0.353,1.18
{1 14},{32 30},0.382,0.286,1.171
{30 14},{32 1},0.421,0.26,1.152
{32 1 30},{14},0.141,0.774,1.079
{32 1 14},{30},0.166,0.66,1.172
{32 30 14},{1},0.187,0.585,1.125
{1 30 14},{32},0.239,0.458,1.11
{1},{34 44 14},0.52,0.216,1.105
{34},{1 44 14},0.641,0.175,1.116
{44},{1 34 14},0.373,0.301,1.132
{14},{1 34 44},0.717,0.156,1.122
{1 34},{44 14},0.352,0.318,1.126
{1 44},{34 14},0.2,0.562,1.183
{1 14},{34 44},0.382,0.293,1.176
{34 44},{1 14},0.25,0.449,1.176
{34 14},{1 44},0.475,0.236,1.183
{44 14},{1 34},0.283,0.396,1.126
{1 34 44},{14},0.139,0.804,1.122
{1 34 14},{44},0.266,0.422,1.132
{1 44 14},{34},0.157,0.715,1.116
{34 44 14},{1},0.195,0.574,1.105
{48},{1 34 14},0.479,0.293,1.105
{1},{48 34 14},0.52,0.27,1.115
{34},{48 1 14},0.641,0.219,1.123
{14},{48 1 34},0.717,0.196,1.098
{48 1},{34 14},0.255,0.552,1.162
{48 34},{1 14},0.316,0.444,1.162
{48 14},{1 34},0.356,0.395,1.121
{1 34},{48 14},0.352,0.399,1.121
{1 14},{48 34},0.382,0.368,1.162
{34 14},{48 1},0.475,0.296,1.162
{48 1 34},{14},0.179,0.787,1.098
{48 1 14},{34},0.195,0.72,1.123
{48 34 14},{1},0.242,0.58,1.115
{1 34 14},{48},0.266,0.529,1.105
{1},{49 34 14},0.52,0.204,1.062
{34},{1 14 49},0.641,0.166,1.07
{49},{1 34 14},0.389,0.273,1.028
{14},{1 34 49},0.717,0.148,1.064
{1 34},{49 14},0.352,0.301,1.043
{1 49},{34 14},0.205,0.518,1.091
{1 14},{49 34},0.382,0.278,1.095
{49 34},{1 14},0.254,0.418,1.095
{34 14},{1 49},0.475,0.223,1.091
{49 14},{1 34},0.289,0.367,1.043
{1 34 49},{14},0.139,0.763,1.064
{1 34 14},{49},0.266,0.399,1.028
{1 14 49},{34},0.155,0.685,1.07
{49 34 14},{1},0.192,0.552,1.062
{16},{1 34 14},0.513,0.284,1.07
{1},{16 34 14},0.52,0.28,1.093
{34},{16 1 14},0.641,0.228,1.093
{14},{16 1 34},0.717,0.203,1.083
{16 1},{34 14},0.278,0.525,1.106
{16 34},{1 14},0.332,0.439,1.148
{16 14},{1 34},0.38,0.384,1.091
{1 34},{16 14},0.352,0.414,1.091
{1 14},{16 34},0.382,0.382,1.148
{34 14},{16 1},0.475,0.307,1.106
{16 1 34},{14},0.188,0.776,1.083
{16 1 14},{34},0.208,0.7,1.093
{16 34 14},{1},0.257,0.568,1.093
{1 34 14},{16},0.266,0.549,1.07
{1},{34 26 14},0.52,0.227,1.097
{34},{1 26 14},0.641,0.184,1.111
{26},{1 34 14},0.412,0.286,1.075
{14},{1 34 26},0.717,0.164,1.102
{1 34},{26 14},0.352,0.335,1.096
{1 26},{34 14},0.218,0.541,1.14
{1 14},{34 26},0.382,0.308,1.144
{34 26},{1 14},0.27,0.437,1.144
{34 14},{1 26},0.475,0.248,1.14
{26 14},{1 34},0.305,0.386,1.096
{1 34 26},{14},0.149,0.79,1.102
{1 34 14},{26},0.266,0.443,1.075
{1 26 14},{34},0.165,0.712,1.111
{34 26 14},{1},0.207,0.57,1.097
{1},{34 12 14},0.52,0.216,1.149
{34},{1 12 14},0.641,0.176,1.129
{12},{1 34 14},0.365,0.308,1.159
{14},{1 34 12},0.717,0.157,1.114
{1 34},{12 14},0.352,0.319,1.145
{1 12},{34 14},0.201,0.559,1.177
{1 14},{34 12},0.382,0.294,1.239
{34 12},{1 14},0.238,0.473,1.239
{34 14},{1 12},0.475,0.237,1.177
{12 14},{1 34},0.279,0.403,1.145
{1 34 12},{14},0.141,0.799,1.114
{1 34 14},{12},0.266,0.423,1.159
{1 12 14},{34},0.155,0.723,1.129
{34 12 14},{1},0.188,0.598,1.149
{1},{34 46 14},0.52,0.212,1.105
{34},{1 46 14},0.641,0.172,1.136
{46},{1 34 14},0.372,0.297,1.117
{14},{1 34 46},0.717,0.154,1.062
{1 34},{46 14},0.352,0.314,1.125
{1 46},{34 14},0.202,0.548,1.154
{1 14},{34 46},0.382,0.289,1.143
{34 46},{1 14},0.253,0.437,1.143
{34 14},{1 46},0.475,0.233,1.154
{46 14},{1 34},0.279,0.396,1.125
{1 34 46},{14},0.145,0.761,1.062
{1 34 14},{46},0.266,0.416,1.117
{1 46 14},{34},0.152,0.727,1.136
{34 46 14},{1},0.192,0.575,1.105
{32},{1 34 14},0.413,0.303,1.141
{1},{32 34 14},0.52,0.241,1.15
{34},{32 1 14},0.641,0.195,1.178
{14},{32 1 34},0.717,0.175,1.072
{32 1},{34 14},0.226,0.555,1.168
{32 34},{1 14},0.277,0.451,1.181
{32 14},{1 34},0.299,0.418,1.188
{1 34},{32 14},0.352,0.355,1.188
{1 14},{32 34},0.382,0.328,1.181
{34 14},{32 1},0.475,0.264,1.168
{32 1 34},{14},0.163,0.768,1.072
{32 1 14},{34},0.166,0.755,1.178
{32 34 14},{1},0.209,0.598,1.15
{1 34 14},{32},0.266,0.471,1.141
{48},{16 1 14},0.479,0.225,1.081
{1},{48 16 14},0.52,0.207,1.077
{16},{48 1 14},0.513,0.21,1.076
{14},{48 1 16},0.717,0.15,1.091
{48 1},{16 14},0.255,0.423,1.115
{48 16},{1 14},0.248,0.435,1.138
{48 14},{16 1},0.356,0.303,1.09
{16 1},{48 14},0.278,0.388,1.09
{1 14},{48 16},0.382,0.282,1.138
{16 14},{48 1},0.38,0.284,1.115
{48 1 16},{14},0.138,0.782,1.091
{48 1 14},{16},0.195,0.552,1.076
{48 16 14},{1},0.193,0.56,1.077
{16 1 14},{48},0.208,0.518,1.081
{1},{18 19 30},0.52,0.257,1.086
{18},{1 19 30},0.705,0.19,1.073
{19},{1 18 30},0.54,0.248,1.103
{30},{1 18 19},0.563,0.238,1.066
{1 18},{19 30},0.387,0.346,1.093
{1 19},{18 30},0.288,0.464,1.17
{1 30},{18 19},0.31,0.432,1.08
{18 19},{1 30},0.4,0.335,1.08
{18 30},{1 19},0.397,0.337,1.17
{19 30},{1 18},0.316,0.423,1.093
{1 18 19},{30},0.223,0.6,1.066
{1 18 30},{19},0.225,0.595,1.103
{1 19 30},{18},0.177,0.757,1.073
{18 19 30},{1},0.237,0.565,1.086
{1},{18 19 34},0.52,0.309,1.127
{18},{1 34 19},0.705,0.228,1.12
{19},{1 18 34},0.54,0.297,1.099
{34},{1 18 19},0.641,0.251,1.124
{1 18},{34 19},0.387,0.415,1.153
{1 19},{18 34},0.288,0.557,1.193
{1 34},{18 19},0.352,0.456,1.141
{18 19},{1 34},0.4,0.402,1.141
