antecedent,consequent,support,confidence,lift
{14},{39},0.717,0.327,1.034
{39},{14},0.316,0.741,1.034
{43},{14},0.208,0.746,1.041
{14},{43},0.717,0.216,1.041
{14},{47},0.717,0.214,1.039
{47},{14},0.206,0.744,1.039
{5},{14},0.227,0.756,1.055
{14},{5},0.717,0.239,1.055
{33},{14},0.169,0.741,1.034
{14},{33},0.717,0.175,1.034
{29},{14},0.28,0.718,1.002
{14},{29},0.717,0.281,1.002
{38},{14},0.269,0.759,1.059
{14},{38},0.717,0.285,1.059
{10},{14},0.141,0.72,1.005
{14},{10},0.717,0.142,1.005
{18},{19},0.705,0.567,1.051
{19},{18},0.54,0.741,1.051
{18},{20},0.705,0.286,1.056
{20},{18},0.271,0.745,1.056
{18},{21},0.705,0.316,1.029
{21},{18},0.307,0.726,1.029
{24},{18},0.213,0.735,1.042
{18},{24},0.705,0.221,1.042
{18},{28},0.705,0.346,1.012
{28},{18},0.342,0.713,1.012
{18},{30},0.705,0.563,0.999
{30},{18},0.563,0.704,0.999
{18},{31},0.705,0.167,1.007
{31},{18},0.165,0.71,1.007
{18},{34},0.705,0.662,1.033
{34},{18},0.641,0.728,1.033
{18},{44},0.705,0.384,1.03
{44},{18},0.373,0.726,1.03
{48},{18},0.479,0.726,1.03
{18},{48},0.705,0.493,1.03
{49},{18},0.389,0.728,1.032
{18},{49},0.705,0.401,1.032
{18},{3},0.705,0.248,1.041
{3},{18},0.238,0.734,1.041
{18},{13},0.705,0.156,1.052
{13},{18},0.148,0.742,1.052
{18},{15},0.705,0.316,1.034
{15},{18},0.305,0.729,1.034
{16},{18},0.513,0.718,1.019
{18},{16},0.705,0.523,1.019
{18},{26},0.705,0.425,1.029
{26},{18},0.412,0.726,1.029
{41},{18},0.207,0.706,1.002
{18},{41},0.705,0.207,1.002
{18},{2},0.705,0.287,1.054
{2},{18},0.273,0.743,1.054
{18},{12},0.705,0.387,1.058
{12},{18},0.365,0.746,1.058
